date|location|total_cases|new_cases|total_deaths|new_deaths|count
2020-01-28|Italy|0|0|0|0|9
2020-01-29|Italy|0|0|0|0|21
2020-01-30|Italy|0|0|0|0|53
2020-01-31|Italy|3|3|0|0|37
2020-02-01|Italy|3|0|0|0|45
2020-02-02|Italy|3|0|0|0|43
2020-02-03|Italy|3|0|0|0|20
2020-02-04|Italy|3|0|0|0|30
2020-02-05|Italy|3|0|0|0|14
2020-02-06|Italy|3|0|0|0|17
2020-02-07|Italy|3|0|0|0|10
2020-02-08|Italy|3|0|0|0|8
2020-02-09|Italy|3|0|0|0|4
2020-02-10|Italy|3|0|0|0|14
2020-02-11|Italy|3|0|0|0|13
2020-02-12|Italy|3|0|0|0|10
2020-02-13|Italy|3|0|0|0|8
2020-02-14|Italy|3|0|0|0|11
2020-02-15|Italy|3|0|0|0|3
2020-02-16|Italy|3|0|0|0|11
2020-02-17|Italy|3|0|0|0|26
2020-02-18|Italy|3|0|0|0|21
2020-02-19|Italy|3|0|0|0|10
2020-02-20|Italy|3|0|0|0|3
2020-02-21|Italy|3|0|0|0|24
2020-02-22|Italy|17|14|0|0|76
2020-02-23|Italy|79|62|2|2|230
2020-02-24|Italy|132|53|2|0|808
2020-02-25|Italy|229|97|6|4|868
2020-02-26|Italy|322|93|11|5|1141
2020-02-27|Italy|400|78|12|1|523
2020-02-28|Italy|650|250|17|5|352
2020-02-29|Italy|888|238|21|4|184
2020-03-01|Italy|1128|240|29|8|193
2020-03-02|Italy|1689|561|35|6|262
2020-03-03|Italy|2036|347|52|17|236
2020-03-04|Italy|2502|466|80|28|234
2020-03-05|Italy|3089|587|107|27|209
2020-03-06|Italy|3858|769|148|41|270
2020-03-07|Italy|4636|778|197|49|120
2020-03-08|Italy|5883|1247|233|36|189
2020-03-09|Italy|7375|1492|366|133|428
2020-03-10|Italy|9172|1797|464|98|531
2020-03-11|Italy|10149|977|631|167|1304
2020-03-12|Italy|12462|2313|827|196|2493
2020-03-13|Italy|15113|2651|1016|189|2693
2020-03-14|Italy|17660|2547|1268|252|1686
2020-03-15|Italy|21157|3497|1441|173|2128
2020-03-16|Italy|23980|2823|1811|370|2569
2020-03-17|Italy|27980|4000|2158|347|2510
2020-03-18|Italy|31506|3526|2505|347|2852
2020-03-19|Italy|35713|4207|2978|473|3538
2020-03-20|Italy|41035|5322|3407|429|3469
2020-03-21|Italy|47021|5986|4032|625|2631
2020-03-22|Italy|53578|6557|4827|795|2270
2020-03-23|Italy|59138|5560|5476|649|3134
2020-03-24|Italy|63927|4789|6077|601|3668
2020-03-25|Italy|69176|5249|6820|743|3844
2020-03-26|Italy|74386|5210|7505|685|3682
2020-03-27|Italy|80539|6153|8165|660|4003
2020-03-28|Italy|86498|5959|9136|971|2468
2020-03-29|Italy|92472|5974|10023|887|2059
2020-03-30|Italy|97689|5217|10781|758|3319
2020-03-31|Italy|101739|4050|11591|810|3210
2020-04-01|Italy|105792|4053|12430|839|3221
2020-04-02|Italy|110574|4782|13157|727|3448
2020-04-03|Italy|115242|4668|13917|760|3237
2020-04-04|Italy|119827|4585|14681|764|2002
2020-04-05|Italy|124632|4805|15362|681|2024
2020-04-06|Italy|128948|4316|15889|527|3254
2020-04-07|Italy|132547|3599|16525|636|3053
2020-04-08|Italy|135586|3039|17129|604|3250
2020-04-09|Italy|139422|3836|17669|540|3072
2020-04-10|Italy|143626|4204|18281|612|3033
2020-04-11|Italy|147577|3951|18851|570|2541
2020-04-12|Italy|152271|4694|19470|619|1920
2020-04-13|Italy|156363|4092|19901|431|2023
2020-04-14|Italy|159516|3153|20465|564|2491
2020-04-15|Italy|162488|2972|21069|604|2588
2020-04-16|Italy|165155|2667|21647|578|2711
2020-04-17|Italy|168941|3786|22172|525|2480
2020-04-18|Italy|172434|3493|22747|575|1751
2020-04-19|Italy|175925|3491|23227|480|1534
2020-04-20|Italy|178972|3047|23660|433|2375
2020-04-21|Italy|181228|2256|24114|454|2623
2020-04-22|Italy|183957|2729|24648|534|2571
2020-04-23|Italy|187327|3370|25085|437|2610
2020-04-24|Italy|189973|2646|25549|464|2408
2020-04-25|Italy|192994|3021|25969|420|1874
2020-04-26|Italy|195351|2357|26384|415|1705
2020-04-27|Italy|197675|2324|26644|260|2709
2020-04-28|Italy|199414|1739|26977|333|2826
2020-04-29|Italy|201505|2091|27359|382|2614
2020-04-30|Italy|203591|2086|27682|323|2704
