date|location|total_cases|new_cases|total_deaths|new_deaths|count
2020-01-28|Germany|1|1|0|0|275
2020-01-29|Germany|4|3|0|0|238
2020-01-30|Germany|4|0|0|0|183
2020-01-31|Germany|5|1|0|0|164
2020-02-01|Germany|7|2|0|0|147
2020-02-02|Germany|8|1|0|0|104
2020-02-03|Germany|9|1|0|0|228
2020-02-04|Germany|11|2|0|0|149
2020-02-05|Germany|11|0|0|0|127
2020-02-06|Germany|11|0|0|0|178
2020-02-07|Germany|12|1|0|0|172
2020-02-08|Germany|13|1|0|0|77
2020-02-09|Germany|13|0|0|0|83
2020-02-10|Germany|13|0|0|0|113
2020-02-11|Germany|13|0|0|0|175
2020-02-12|Germany|15|2|0|0|311
2020-02-13|Germany|15|0|0|0|191
2020-02-14|Germany|15|0|0|0|127
2020-02-15|Germany|15|0|0|0|162
2020-02-16|Germany|15|0|0|0|103
2020-02-17|Germany|15|0|0|0|151
2020-02-18|Germany|15|0|0|0|111
2020-02-19|Germany|15|0|0|0|144
2020-02-20|Germany|15|0|0|0|201
2020-02-21|Germany|15|0|0|0|205
2020-02-22|Germany|15|0|0|0|105
2020-02-23|Germany|15|0|0|0|136
2020-02-24|Germany|15|0|0|0|176
2020-02-25|Germany|15|0|0|0|245
2020-02-26|Germany|17|2|0|0|277
2020-02-27|Germany|21|4|0|0|173
2020-02-28|Germany|47|26|0|0|215
2020-02-29|Germany|57|10|0|0|147
2020-03-01|Germany|111|54|0|0|165
2020-03-02|Germany|129|18|0|0|171
2020-03-03|Germany|157|28|0|0|159
2020-03-04|Germany|196|39|0|0|182
2020-03-05|Germany|262|66|0|0|256
2020-03-06|Germany|400|138|0|0|213
2020-03-07|Germany|684|284|0|0|199
2020-03-08|Germany|847|163|0|0|206
2020-03-09|Germany|902|55|0|0|327
2020-03-10|Germany|1139|237|2|2|301
2020-03-11|Germany|1296|157|2|0|361
2020-03-12|Germany|1567|271|3|1|314
2020-03-13|Germany|2369|802|5|2|331
2020-03-14|Germany|3062|693|5|0|359
2020-03-15|Germany|3795|733|8|3|355
2020-03-16|Germany|4838|1043|12|4|365
2020-03-17|Germany|6012|1174|13|1|446
2020-03-18|Germany|7156|1144|13|0|507
2020-03-19|Germany|8198|1042|13|0|539
2020-03-20|Germany|14138|5940|43|30|523
2020-03-21|Germany|18187|4049|45|2|394
2020-03-22|Germany|21463|3276|67|22|457
2020-03-23|Germany|24774|3311|94|27|466
2020-03-24|Germany|29212|4438|126|32|510
2020-03-25|Germany|31554|2342|149|23|596
2020-03-26|Germany|36508|4954|198|49|539
2020-03-27|Germany|42288|5780|253|55|540
2020-03-28|Germany|48582|6294|325|72|502
2020-03-29|Germany|52547|3965|389|64|447
2020-03-30|Germany|57298|4751|455|66|637
2020-03-31|Germany|61913|4615|583|128|587
2020-04-01|Germany|67366|5453|732|149|487
2020-04-02|Germany|73522|6156|872|140|535
2020-04-03|Germany|79696|6174|1017|145|467
2020-04-04|Germany|85778|6082|1158|141|378
2020-04-05|Germany|91714|5936|1342|184|347
2020-04-06|Germany|95391|3677|1434|92|399
2020-04-07|Germany|99225|3834|1607|173|491
2020-04-08|Germany|103228|4003|1861|254|470
2020-04-09|Germany|108202|4974|2107|246|492
2020-04-10|Germany|113525|5323|2373|266|338
2020-04-11|Germany|117658|4133|2544|171|281
2020-04-12|Germany|120479|2821|2673|129|764
2020-04-13|Germany|123016|2537|2799|126|390
2020-04-14|Germany|125098|2082|2969|170|392
2020-04-15|Germany|127584|2486|3254|285|416
2020-04-16|Germany|130450|2866|3569|315|378
2020-04-17|Germany|133830|3380|3868|299|388
2020-04-18|Germany|137439|3609|4110|242|375
2020-04-19|Germany|139897|2458|4294|184|286
2020-04-20|Germany|141672|1775|4404|110|322
2020-04-21|Germany|143457|1785|4598|194|333
2020-04-22|Germany|145694|2237|4879|281|345
2020-04-23|Germany|148046|2352|5094|215|357
2020-04-24|Germany|150383|2337|5321|227|375
2020-04-25|Germany|152438|2055|5500|179|332
2020-04-26|Germany|154175|1737|5640|140|313
2020-04-27|Germany|155193|1018|5750|110|378
2020-04-28|Germany|156337|1144|5913|163|377
2020-04-29|Germany|157641|1304|6115|202|341
2020-04-30|Germany|159119|1478|6288|173|318
